flight_number,date_utc,rocket,success,payloads,launchpad
160,2022-04-29T21:27:00.000Z,5e9d0d95eda69973a809d1ec,True,['62582aa55988f159024b964d'],5e9e4501f509094ba4566f84
161,2022-05-06T09:42:00.000Z,5e9d0d95eda69973a809d1ec,True,['62582aad5988f159024b964e'],5e9e4502f509094188566f88
162,2022-05-13T22:07:00.000Z,5e9d0d95eda69973a809d1ec,True,['625829d75988f159024b9649'],5e9e4502f509092b78566f87
163,2022-05-14T20:40:00.000Z,5e9d0d95eda69973a809d1ec,True,['625829cf5988f159024b9648'],5e9e4501f509094ba4566f84
164,2022-05-18T10:40:00.000Z,5e9d0d95eda69973a809d1ec,True,['62615ee40ec008379be596fd'],5e9e4502f509094188566f88
165,2022-05-25T18:27:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243b39daf52800c6e919267'],5e9e4501f509094ba4566f84
166,2022-06-08T21:04:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243b286af52800c6e919266'],5e9e4501f509094ba4566f84
167,2022-06-01T17:08:50.000Z,5e9d0d95eda69973a809d1ec,True,['6278484e57b51b752c5c5a63'],5e9e4502f509094188566f88
168,2022-06-18T14:19:00.000Z,5e9d0d95eda69973a809d1ec,True,['5fe3b2abb3467846b3242172'],5e9e4502f509092b78566f87
169,2022-06-19T04:27:00.000Z,5e9d0d95eda69973a809d1ec,True,['62adecbcd26f4f711fa53848'],5e9e4501f509094ba4566f84
170,2022-06-29T21:04:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243b93caf52800c6e91926f'],5e9e4501f509094ba4566f84
171,2022-07-07T13:11:00.000Z,5e9d0d95eda69973a809d1ec,True,['630bccc6d36448026ab01639'],5e9e4501f509094ba4566f84
173,2022-07-15T00:44:00.000Z,5e9d0d95eda69973a809d1ec,True,['6243b835af52800c6e91926d'],5e9e4502f509094188566f88
174,2022-07-17T14:50:00.000Z,5e9d0d95eda69973a809d1ec,True,['630bce10d36448026ab0163b'],5e9e4501f509094ba4566f84
175,2022-07-21T17:13:00.000Z,5e9d0d95eda69973a809d1ec,True,['630bce49d36448026ab0163c'],5e9e4502f509092b78566f87
176,2022-07-24T00:00:00.000Z,5e9d0d95eda69973a809d1ec,True,['630bce79d36448026ab0163d'],5e9e4501f509094ba4566f84
177,2022-08-04T23:08:00.000Z,5e9d0d95eda69973a809d1ec,True,['630bcfe1d36448026ab01641'],5e9e4501f509094ba4566f84
178,2022-08-09T22:57:00.000Z,5e9d0d95eda69973a809d1ec,True,['630bcea1d36448026ab0163e'],5e9e4502f509094188566f88
